wall_time,ros_time_sec,event,mode,stable_gesture,nav_lin_x,nav_ang_z,out_lin_x,out_ang_z
2026-04-27T20:25:35,1777335935.088,pass_nav,IDLE,None,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:26:02,1777335962.882,estop_fist,IDLE,Fist,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:26:03,1777335963.636,pass_nav,IDLE,None,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:28:08,1777336088.185,speed_limit,IDLE,ThumbUp,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:28:47,1777336127.186,pass_nav,IDLE,None,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:29:20,1777336160.432,correct_right,IDLE,PointRight,0.0000,0.0000,0.0000,-0.3500
2026-04-27T20:29:22,1777336162.837,pass_nav,IDLE,None,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:34:31,1777336471.032,speed_limit,IDLE,ThumbUp,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:34:38,1777336478.732,estop_fist,IDLE,Fist,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:34:38,1777336478.933,pass_nav,IDLE,None,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:34:49,1777336489.282,speed_limit,IDLE,TwoFingers,0.2084,0.1282,0.0938,0.0577
2026-04-27T20:34:51,1777336491.483,pass_nav,IDLE,OpenPalm,0.1968,-0.1282,0.1968,-0.1282
2026-04-27T20:34:53,1777336493.935,speed_limit,IDLE,TwoFingers,0.1968,-0.0256,0.0886,-0.0115
2026-04-27T20:34:56,1777336496.732,correct_left,IDLE,PointLeft,0.2084,-0.2308,0.2084,0.1192
2026-04-27T20:35:00,1777336500.587,correct_right,IDLE,PointRight,0.2084,-0.1282,0.2084,-0.4782
2026-04-27T20:35:04,1777336504.532,estop_fist,IDLE,Fist,0.2200,-0.1282,0.0000,0.0000
2026-04-27T20:35:09,1777336509.433,pass_nav,NAV,OpenPalm,0.2084,-0.0256,0.2084,-0.0256
2026-04-27T20:35:11,1777336511.232,estop_fist,IDLE,Fist,0.1968,-0.0769,0.0000,0.0000
2026-04-27T20:35:15,1777336515.432,pass_nav,IDLE,None,0.0579,0.0769,0.0579,0.0769
